ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
17488,F,27,173,62,Italy,1952,Swimming,NA
17494,M,29,188,85,Australia,2008,Swimming,Bronze
17684,F,18,179,58,Australia,2012,Swimming,NA
17687,F,16,186,67,Australia,2008,Swimming,Bronze
17703,M,19,183,79,UK,1980,Swimming,NA
17711,M,19,180,79,UK,1984,Swimming,NA
17711,M,19,180,79,UK,1984,Swimming,NA
17727,M,19,184,76,Canada,1968,Swimming,NA
17735,M,23,188,79,UK,1964,Athletics,NA
17741,F,19,178,63,Canada,1976,Athletics,NA
17771,M,19,170,73,UK,1960,Swimming,NA
17913,F,22,171,70,France,1964,Athletics,NA
17963,F,31,170,58,Italy,2012,Cycling,NA
17987,F,25,177,61,Australia,1976,Athletics,NA
18020,M,21,180,82,USA,2000,Athletics,NA
18047,M,24,177,83,Italy,1996,Cycling,NA
18054,M,26,180,76,Australia,1996,Athletics,NA
18071,M,23,175,70,Italy,2004,Swimming,Bronze
18146,F,32,169,65,Italy,2000,Athletics,NA
18158,M,26,175,70,UK,1976,Cycling,NA
18167,F,23,178,116,USA,2016,Athletics,NA
18216,M,21,176,63,France,1968,Athletics,NA
18232,M,21,183,82,USA,1984,Swimming,Gold
18277,M,23,178,67,France,1984,Cycling,NA
18277,M,27,178,67,France,1988,Cycling,NA
18279,M,28,198,110,Australia,1996,Athletics,NA
18400,M,23,172,67,USA,1992,Cycling,NA
18430,M,18,200,82,France,1984,Swimming,NA
18430,M,26,200,82,France,1992,Swimming,NA
18491,M,24,169,67,Australia,1924,Athletics,NA
18550,F,23,168,60,Australia,2004,Cycling,Gold
18583,F,17,167,55,Australia,2004,Swimming,NA
18606,M,26,185,77,UK,2008,Swimming,NA
18655,M,23,189,127,USA,1984,Athletics,Silver
18670,F,20,165,48,USA,1928,Athletics,NA
18709,M,26,188,84,USA,2000,Swimming,Silver
18724,M,29,171,64,Italy,2000,Cycling,NA
18760,M,21,185,72,Italy,1992,Cycling,Gold
18860,M,23,187,75,Italy,2008,Swimming,NA
18887,F,22,182,71,France,2012,Swimming,NA
18895,M,21,173,69,Italy,1972,Cycling,NA
18930,F,18,167,55,Italy,2016,Swimming,NA
19103,F,21,175,60,USA,1984,Swimming,Gold
19155,M,31,175,70,UK,2016,Cycling,Silver
19237,F,17,163,55,Italy,1960,Swimming,NA
19304,M,27,175,76,Italy,1972,Athletics,NA
19432,M,22,190,81,Italy,2008,Athletics,NA
